Inserted List,ORF Name,Gene Name
YOR145C,YOR145C,PNO1
YOR146W,YOR146W,YOR146W
YOR147W,YOR147W,MDM32
YOR148C,YOR148C,SPP2
YOR149C,YOR149C,SMP3
YOR150W,YOR150W,MRPL23
YOR151C,YOR151C,RPB2
YOR152C,YOR152C,ATG40
YOR153W,YOR153W,PDR5
YOR154W,YOR154W,SLP1
YOR155C,YOR155C,ISN1
YOR156C,YOR156C,NFI1
YOR157C,YOR157C,PUP1
YOR158W,YOR158W,PET123
YOR159C,YOR159C,SME1
YOR160W,YOR160W,MTR10
YOR161C,YOR161C,PNS1
YOR162C,YOR162C,YRR1
YOR163W,YOR163W,DDP1
YOR164C,YOR164C,GET4
YOR165W,YOR165W,SEY1
YOR166C,YOR166C,SWT1
YOR167C,YOR167C,RPS28a
YOR168W,YOR168W,GLN4
YOR169C,YOR169C,YOR169C
YOR170W,YOR170W,YOR170W
YOR171C,YOR171C,LCB4
YOR172W,YOR172W,YRM1
YOR173W,YOR173W,DCS2
YOR174W,YOR174W,MED4
YOR175C,YOR175C,ALE1
YOR176W,YOR176W,HEM15
YOR177C,YOR177C,MPC54
YOR178C,YOR178C,GAC1
YOR179C,YOR179C,SYC1
YOR180C,YOR180C,DCI1
YOR181W,YOR181W,LAS17
YOR182C,YOR182C,RPS30b
YOR183W,YOR183W,FYV12
YOR184W,YOR184W,SER1
YOR185C,YOR185C,GSP2
YOR186W,YOR186W,YOR186W
YOR187W,YOR187W,TUF1
YOR188W,YOR188W,MSB1
YOR189W,YOR189W,IES4
YOR190W,YOR190W,SPR1
YOR191W,YOR191W,ULS1
YOR192C,YOR192C,THI72
YOR193W,YOR193W,PEX27
YOR194C,YOR194C,TOA1
YOR195W,YOR195W,SLK19
YOR196C,YOR196C,LIP5
YOR197W,YOR197W,MCA1
YOR198C,YOR198C,BFR1
YOR199W,YOR199W,YOR199W
YOR200W,YOR200W,YOR200W
YOR201C,YOR201C,MRM1
YOR202W,YOR202W,HIS3
YOR203W,YOR203W,YOR203W
YOR204W,YOR204W,DED1
YOR205C,YOR205C,GEP3
YOR206W,YOR206W,NOC2
YOR207C,YOR207C,RET1
YOR208W,YOR208W,PTP2
YOR209C,YOR209C,NPT1
YOR210W,YOR210W,RPB10
YOR211C,YOR211C,MGM1
YOR212W,YOR212W,STE4
YOR213C,YOR213C,SAS5
YOR214C,YOR214C,SPR2
YOR215C,YOR215C,AIM41
YOR216C,YOR216C,RUD3
YOR217W,YOR217W,RFC1
YOR218C,YOR218C,YOR218C
YOR219C,YOR219C,STE13
YOR220W,YOR220W,RCN2
YOR221C,YOR221C,MCT1
YOR222W,YOR222W,ODC2
YOR223W,YOR223W,DSC3
