Inserted List,,ORF Name,Gene Name
YCP4,,YCR004C,YCP4
CIT2,,YCR005C,CIT2
YCR006C,,YCR006C,YCR006C
YCR007C,,YCR007C,YCR007C
SAT4,,YCR008W,SAT4
RVS161,,YCR009C,RVS161
ADY2,,YCR010C,ADY2
ADP1,,YCR011C,ADP1
PGK1,,YCR012W,PGK1
YCR013C,,YCR013C,YCR013C
POL4,,YCR014C,POL4
CTO1,,YCR015C,CTO1
YCR016W,,YCR016W,YCR016W
CWH43,,YCR017C,CWH43
SRD1,,YCR018C,SRD1
YCR018C-A,,YCR018C-A,YCR018C-A
MAK32,,YCR019W,MAK32
PET18,,YCR020C,PET18
MAK31,,YCR020C-A,MAK31
HTL1,,YCR020W-B,HTL1
HSP30,,YCR021C,HSP30
YCR022C,,YCR022C,YCR022C
YCR023C,,YCR023C,YCR023C
SLM5,,YCR024C,SLM5
PMP1,,YCR024C-A,PMP1
YCR025C,,YCR025C,YCR025C
NPP1,,YCR026C,NPP1
RHB1,,YCR027C,RHB1
FEN2,,YCR028C,FEN2
RIM1,,YCR028C-A,RIM1
SYP1,,YCR030C,SYP1
RPS14a,,YCR031C,RPS14a
BPH1,,YCR032W,BPH1
SNT1,,YCR033W,SNT1
ELO2,,YCR034W,ELO2
RRP43,,YCR035C,RRP43
RBK1,,YCR036W,RBK1
PHO87,,YCR037C,PHO87
BUD5,,YCR038C,BUD5
YCR038W-A,,YCR038W-A,YCR038W-A
MATALPHA2,,YCR039C,MATALPHA2
MATALPHA1,,YCR040W,MATALPHA1
YCR041W,,YCR041W,YCR041W
TAF2,,YCR042C,TAF2
YCR043C,,YCR043C,YCR043C
PER1,,YCR044C,PER1
RRT12,,YCR045C,RRT12
IMG1,,YCR046C,IMG1
BUD23,,YCR047C,BUD23
YCR049C,,YCR049C,YCR049C
ARE1,,YCR048W,ARE1
YCR050C,,YCR050C,YCR050C
YCR051W,,YCR051W,YCR051W
RSC6,,YCR052W,RSC6
THR4,,YCR053W,THR4
CTR86,,YCR054C,CTR86
PWP2,,YCR057C,PWP2
YIH1,,YCR059C,YIH1
TAH1,,YCR060W,TAH1
YCR061W,,YCR061W,YCR061W
YCR064C,,YCR064C,YCR064C
BUD31,,YCR063W,BUD31
HCM1,,YCR065W,HCM1
RAD18,,YCR066W,RAD18
SED4,,YCR067C,SED4
ATG15,,YCR068W,ATG15
CPR4,,YCR069W,CPR4
IMG2,,YCR071C,IMG2
RSA4,,YCR072C,RSA4
